Time[mSeconds],Pressure[PSI],Temperature[DegC]
128045,67.45,19.25
128245,67.45,19
128447,67.45,19.25
128649,67.45,19.25
128850,64.52,19
129051,67.45,19.25
129253,64.52,19
129455,67.45,19
129655,70.38,19
129857,67.45,19.25
130059,67.45,19.25
130260,67.45,19.25
130461,67.45,19
130663,67.45,19
130865,64.52,19
131066,67.45,19.25
131267,61.58,19
131469,67.45,19
131671,64.52,19
131872,70.38,19
132073,64.52,19
132275,67.45,19
132476,70.38,19.25
132677,64.52,19
132879,67.45,19.25
133081,64.52,19.25
133282,67.45,19
133483,64.52,19
133685,67.45,19
133886,64.52,19.25
134088,67.45,19.25
134289,67.45,19.25
134491,64.52,19
134692,67.45,19
134893,67.45,19
135095,64.52,19
135297,67.45,19
135498,67.45,19
135699,61.58,19
135901,64.52,19.25
136102,70.38,19
136304,70.38,19
136505,64.52,19
136707,67.45,19.25
136908,64.52,19
137109,64.52,19
137311,64.52,19
137512,64.52,19
137714,64.52,19.25
137915,64.52,19
138117,67.45,19
138318,67.45,19
138520,61.58,19
138721,64.52,19.25
138923,67.45,19.25
139124,67.45,19.25
139326,73.31,19
139527,67.45,19.25
139728,67.45,19
139930,64.52,19.25
140131,67.45,19
140333,64.52,19
140534,67.45,19
140736,70.38,19.25
140937,67.45,19.25
141138,67.45,19
141340,64.52,19
141542,64.52,19
141743,64.52,19
141944,67.45,19.25
142146,64.52,19
142348,67.45,19
142548,67.45,19
142750,64.52,19
142952,67.45,19.25
143153,61.58,19
143354,67.45,19
143556,61.58,19.25
143758,64.52,19
143959,64.52,19
144160,64.52,19
144362,67.45,19
144564,67.45,19.25
144764,64.52,19
144966,70.38,19
145168,67.45,19
145369,67.45,19
145570,67.45,19
145772,67.45,19.25
145974,70.38,19
146174,64.52,19.25
146376,64.52,19
146578,64.52,19.25
146780,64.52,19
146980,67.45,19.25
147182,64.52,19
147384,64.52,19
147585,61.58,19.25
147786,67.45,19
147988,64.52,19.25
148190,67.45,19
148390,70.38,19.25
148592,67.45,19
148794,67.45,19
148996,67.45,19.25
149196,64.52,19
149398,73.31,19.25
149600,70.38,19
149801,70.38,19
150002,67.45,19.25
150204,64.52,19.25
150406,67.45,19.25
150606,64.52,19.25
150808,64.52,19
151010,64.52,19
151212,61.58,19.25
151412,64.52,19
151614,64.52,19
151816,70.38,19
152017,64.52,19
152218,64.52,19.25
152420,64.52,19
152622,64.52,19.25
152823,67.45,19
153024,67.45,19.25
153226,64.52,19
153427,67.45,19.25
153628,67.45,19.25
153830,67.45,19
154032,64.52,19.25
154233,67.45,19.25
154434,67.45,19
154636,64.52,19.25
154838,67.45,19
155039,64.52,19.25
155240,64.52,19
155442,64.52,19.25
155643,70.38,19.25
155845,64.52,19
156046,64.52,19
156248,64.52,19
156449,64.52,19
156650,64.52,19
156852,67.45,19
157053,64.52,19
157255,64.52,19
157456,64.52,19
157658,64.52,19.25
157859,73.31,19.25
158061,67.45,19
158262,67.45,19
158464,64.52,19
158665,64.52,19
158867,64.52,19.25
159068,67.45,19
159269,67.45,19
159471,64.52,19
159672,61.58,19.25
159874,64.52,19.25
160075,64.52,19
160277,64.52,19
160478,67.45,19.25
160679,67.45,19
160881,64.52,19
161083,64.52,19.25
161284,64.52,19.25
161485,64.52,19
161687,64.52,19.25
161888,64.52,19
162089,64.52,19.25
162291,64.52,19.25
162493,64.52,19.25
162694,64.52,19.25
162895,64.52,19
163097,64.52,19.25
163299,64.52,19.25
163500,64.52,19.25
163701,64.52,19
163903,64.52,19.25
164105,64.52,19
164305,67.45,19.25
164507,67.45,19.25
164709,64.52,19.25
164911,64.52,19
165111,64.52,19.25
165313,67.45,19
165515,67.45,19.25
165715,67.45,19.25
165917,64.52,19.25
166119,67.45,19.25
166321,64.52,19.25
166521,67.45,19.25
166723,70.38,19.25
166925,64.52,19.25
167127,64.52,19.25
167327,64.52,19
167529,64.52,19.25
167731,64.52,19
167932,61.58,19.25
168133,64.52,19
168335,67.45,19
168537,64.52,19.25
168737,64.52,19.25
168939,64.52,19
169141,61.58,19.25
169342,64.52,19.25
169543,64.52,19.25
169745,61.58,19
169947,64.52,19.25
170148,67.45,19.25
170349,64.52,19
170551,64.52,19
170753,67.45,19.25
170954,64.52,19
171155,61.58,19
171357,64.52,19
171558,64.52,19.25
171759,67.45,19
171961,67.45,19
172163,64.52,19
172364,64.52,19.25
172565,67.45,19
172767,64.52,19.25
172968,67.45,19
173170,64.52,19.25
173371,64.52,19
173573,61.58,19
173774,64.52,19
173975,64.52,19
174177,64.52,19
174379,64.52,19.25
174580,64.52,19
174781,64.52,19
174983,64.52,19
175184,64.52,19
175386,70.38,19
175587,64.52,19
175789,67.45,19.25
175990,64.52,19
176192,67.45,19
176393,64.52,19
176594,73.31,19
176796,61.58,19
176997,61.58,19
177199,67.45,19
177400,64.52,19
177602,64.52,19
177803,64.52,19
178004,61.58,19
178206,64.52,19
178408,64.52,19
178609,64.52,19.25
178810,73.31,19.25
179012,64.52,19
179213,64.52,19
179415,61.58,19
179616,64.52,19
179818,64.52,19.25
180019,67.45,19
180220,64.52,19
180422,67.45,19
180624,67.45,19.25
180825,64.52,19
181026,64.52,19.25
181228,64.52,19
181429,64.52,19
181630,64.52,19
181832,64.52,19
182034,61.58,19.25
182235,61.58,19.25
182436,61.58,19.25
182638,64.52,19.25
182840,64.52,19
183041,61.58,19
183242,61.58,19.25
183444,64.52,19.25
183646,64.52,19
183846,67.45,19.25
184048,64.52,19.25
184250,67.45,19.25
184451,67.45,19.25
184652,61.58,19.25
184854,64.52,19.25
185056,64.52,19.25
185256,64.52,19.25
185458,61.58,19.25
185660,64.52,19.25
185862,64.52,19.25
186062,64.52,19.25
186264,64.52,19.25
186466,64.52,19.25
186668,64.52,19.25
186868,64.52,19.25
187070,70.38,19.25
187272,64.52,19.25
187473,67.45,19.25
187674,64.52,19.25
187876,61.58,19.25
188078,64.52,19.25
188278,64.52,19
188480,64.52,19
188682,67.45,19.25
188883,64.52,19.25
189084,61.58,19.25
189286,61.58,19
189488,67.45,19.25
189689,61.58,19.25
189890,67.45,19
190092,64.52,19.25
190294,64.52,19.25
190495,67.45,19.25
190696,64.52,19
190898,64.52,19
191099,64.52,19.25
191301,64.52,19.25
191502,64.52,19.25
191704,67.45,19.25
191905,67.45,19
192106,64.52,19
192308,61.58,19
192509,64.52,19
192711,70.38,19.25
192912,61.58,19
193114,64.52,19
193315,61.58,19.25
193517,64.52,19
193718,64.52,19
193920,67.45,19.25
194121,64.52,19
194322,64.52,19
194524,64.52,19
194725,64.52,19
194927,64.52,19
195128,64.52,19
195330,64.52,19
195531,64.52,19
195733,61.58,19
195934,61.58,19
196135,64.52,19
196337,61.58,19.25
196538,64.52,19.25
196740,64.52,19.25
196941,64.52,19
197143,64.52,19.25
197344,64.52,19
197545,64.52,19.25
197747,64.52,19.25
197949,67.45,19
198150,64.52,19
198351,61.58,19
198553,64.52,19
198755,64.52,19
198956,64.52,19.25
199157,64.52,19.25
199359,61.58,19
199560,61.58,19
199761,61.58,19.25
199963,64.52,19.25
200165,64.52,19
200366,64.52,19
200567,64.52,19.25
200769,64.52,19.25
200971,64.52,19.25
201171,64.52,19.25
201373,64.52,19.25
201575,64.52,19
201777,61.58,19.25
201977,61.58,19.25
202179,61.58,19.25
202381,64.52,19.25
202583,64.52,19.25
202783,64.52,19.25
202985,64.52,19.25
203187,64.52,19.25
203388,64.52,19.25
203589,67.45,19.25
203791,64.52,19.25
203993,64.52,19.25
204193,67.45,19.25
204395,64.52,19.25
204597,64.52,19.25
204798,61.58,19.25
204999,64.52,19.25
205201,61.58,19.25
205403,64.52,19.25
205604,64.52,19.25
205805,64.52,19.25
206007,64.52,19.25
206209,67.45,19.25
206410,64.52,19.25
206611,64.52,19.25
206813,64.52,19.25
207014,61.58,19.25
207216,61.58,19.25
207417,61.58,19.25
207619,64.52,19.25
207820,64.52,19.25
208021,61.58,19.25
208223,64.52,19.25
208424,61.58,19.25
208626,64.52,19.25
208827,64.52,19.25
209029,61.58,19.25
209230,70.38,19.25
209432,64.52,19.25
209633,64.52,19.25
209835,64.52,19.25
210036,64.52,19.25
210238,61.58,19.25
210439,61.58,19.25
210640,64.52,19.25
210842,64.52,19.25
211044,64.52,19.25
211245,64.52,19.25
211446,64.52,19.25
211648,64.52,19.25
211849,64.52,19.25
212050,61.58,19.25
212252,64.52,19.25
212454,64.52,19.25
212655,61.58,19.25
212856,70.38,19.25
213058,64.52,19.25
213260,64.52,19.25
213460,61.58,19.25
213662,64.52,19.25
